t,theta,omega
60.57999999999652,0.03737199146775417,-0.004330109793119713
60.589999999996515,0.037310399992872875,-0.007986569418012703
60.59999999999651,0.03721229834588067,-0.01163154958894897
60.60999999999651,0.037077819133726264,-0.015261490577549124
60.61999999999651,0.036907130472283584,-0.018872850901964933
60.62999999999651,0.03670043578667832,-0.02246211076476734
60.639999999996505,0.03645797357735318,-0.026025775466783772
60.6499999999965,0.03618001715212829,-0.029560378793690834
60.6599999999965,0.03586687432454523,-0.033062486372191294
60.6699999999965,0.03551888707881436,-0.036528698992629026
60.6799999999965,0.035136431201716896,-0.03995565589492245
60.689999999996495,0.03471991588184396,-0.04334003801472607
60.69999999999649,0.034269783276585586,-0.046678571186760984
60.70999999999649,0.033786508047313216,-0.049968029302288566
60.71999999999649,0.033270596863229245,-0.05320523741773761
60.72999999999649,0.03272258787438679,-0.05638707481153326
60.739999999996485,0.03214305015441235,-0.05951047798621683
60.74999999999648,0.03153258311349276,-0.06257244361298897
60.75999999999648,0.03089181588221638,-0.06557003141585437
60.76999999999648,0.03022140666688641,-0.06850036699259499
60.77999999999648,0.029522042076951673,-0.07136064456984997
60.789999999996475,0.02879443642522723,-0.07414812968963468
60.79999999999647,0.028039331001603492,-0.0768601618246883
60.80999999999647,0.02725749332096837,-0.07949415692009966
60.81999999999647,0.026449716346092177,-0.0820476098587235
60.82999999999647,0.025616817686249516,-0.08451809684796596
60.839999999996465,0.024759638772376316,-0.08690327772558665
60.84999999999646,0.023879044009583284,-0.08920089818223711
60.85999999999646,0.022975919907869513,-0.09140879189853064
60.86999999999646,0.022051174191901633,-0.09352488259451647
60.87999999999646,0.02110573489074476,-0.09554718598951321
60.889999999996455,0.020140549408451506,-0.09747381167034025
60.89999999999645,0.019156583576434547,-0.09930296486607351
60.90999999999645,0.018154820688566466,-0.10103294812754235
60.91999999999645,0.017136260519968017,-0.10266216290987727
60.92999999999645,0.016101918330462324,-0.10418911105651452
60.939999999996445,0.01505282385368804,-0.10561239618316183
60.94999999999644,0.013990020272878883,-0.10693072496033151
60.95999999999644,0.012914563184330428,-0.10814290829315004
60.96999999999644,0.011827519549587403,-0.10924786239726014
60.97999999999644,0.010729966637396029,-0.11024460976973924
60.989999999996435,0.009622990956476158,-0.11113228005406839
60.99999999999643,0.008507687180177087,-0.11191011079829846
61.00999999999643,0.007385157064088837,-0.11257744810567356
61.01999999999643,0.0062565083576875775,-0.11313374717708767
61.02999999999643,0.0051228537110994685,-0.11357857274486671
61.039999999996425,0.0039853095780717366,-0.11391159939748623
61.04999999999642,0.0028449951162430737,-0.11413261179495339
61.05999999999642,0.0017030310858075772,-0.11424150477470146
61.06999999999642,0.0005605387476673692,-0.1142382833479644
61.07999999999642,-0.0005813612378312517,-0.11412306258671939
61.089999999996415,-0.0017215499104847305,-0.11389606740140495
61.09999999999641,-0.002858911107051559,-0.11355763220974192
61.10999999999641,-0.003992332554217104,-0.11310820049710374
61.11999999999641,-0.005120706956622201,-0.1125483242690011
61.12999999999641,-0.006242933078879946,-0.1118786633963635
61.139999999996405,-0.007357916820512584,-0.11109998485441637
61.1499999999964,-0.008464572282748899,-0.11021316185606796
61.1599999999964,-0.009561822826132252,-0.10921917288083305
61.1699999999964,-0.01064860211790025,-0.10811910060043253
61.1799999999964,-0.011723855168108935,-0.10691413070231737
61.189999999996395,-0.012786539353487449,-0.10560555061247298
61.19999999999639,-0.01383562542802319,-0.10419474811896513
61.20999999999639,-0.014870098519292604,-0.10268320989779108
61.21999999999639,-0.0158889591095689,-0.10107251994269949
61.22999999999639,-0.016891224000755125,-0.09936435790074008
61.239999999996385,-0.01787592726220905,-0.09756049731539757
61.24999999999638,-0.0188421211605454,-0.09566280377925611
61.25999999999638,-0.019788877070520825,-0.09367323299822804
61.26999999999638,-0.02071528636612776,-0.09159382876946548
61.27999999999638,-0.021620461291044956,-0.08942672087515478
61.289999999996375,-0.02250353580761483,-0.08717412289447164
61.29999999999637,-0.02336366642354094,-0.0848383299360492
61.30999999999637,-0.02420003299552277,-0.08242171629338263
61.31999999999637,-0.025011839509069607,-0.0799267330256611
61.32999999999637,-0.025798314833760473,-0.07735590546658201
61.339999999996365,-0.02655871345324301,-0.07471183066376302
61.34999999999636,-0.027292316169290568,-0.07199717475142438
61.35999999999636,-0.02799843077926381,-0.06921467025906741
61.36999999999636,-0.02867639272635064,-0.0663671133589255
61.37999999999636,-0.02932556572198623,-0.06345736105501026
61.389999999996355,-0.029945342339883406,-0.06048832831661912
61.39999999999635,-0.030535144581132552,-0.05746298515921075
61.40999999999635,-0.031094424409859295,-0.05438435367559141
61.41999999999635,-0.03162266425895805,-0.051255505020389225
61.42999999999635,-0.03211937750544924,-0.04807955635082397
61.439999999996346,-0.03258410891503834,-0.044859667726807696
61.44999999999634,-0.0330164350554853,-0.04159903897343636
61.45999999999634,-0.03341596467842372,-0.03830090650895434
61.46999999999634,-0.0337823390692999,-0.03496854014129348
61.47999999999634,-0.03411523236513316,-0.03160523983630421
61.489999999996336,-0.03441435183982998,-0.028214332460810898
61.499999999996334,-0.03467943815681589,-0.024799168503634943
61.50999999999633,-0.034910265588780576,-0.02136311877773801
61.51999999999633,-0.03510664220436321,-0.01790957110664502
61.52999999999633,-0.03526841002163652,-0.014441926998310725
61.539999999996326,-0.035395445128279995,-0.010963598309596175
61.549999999996324,-0.035487657768364086,-0.007478003904521503
61.55999999999632,-0.03554499239569898,-0.003988566309459609
61.56999999999632,-0.0355674276937332,-0.000498708368431285
61.57999999999632,-0.03555497656201885,0.0029881500983436064
61.589999999996316,-0.03550768606929169,0.006468595629492283
61.599999999996314,-0.03542563737324589,0.009939224447995795
61.60999999999631,-0.03530894560711444,0.013396645774031607
61.61999999999631,-0.035157759733197416,0.01683748512204101
61.62999999999631,-0.034972262363511294,0.020258387578926146
61.639999999996306,-0.0347526695477636,0.023656021060299293
61.649999999996304,-0.034499230528887426,0.027027079541726565
61.6599999999963,-0.03421222746640129,0.030368286261930184
61.6699999999963,-0.03389197512788969,0.03367639689493696
61.6799999999963,-0.03353882054892991,0.036948202688186736
61.689999999996296,-0.033153142661820297,0.04018053356364222
61.699999999996294,-0.032735351893494614,0.043370261178972004
61.70999999999629,-0.03228588973303632,0.04651430194591069
61.71999999999629,-0.03180522826923525,0.04960962000293468
61.72999999999629,-0.0312938696986578,0.052653230139429165
61.739999999996286,-0.03075234580472956,0.055642200668561015
61.749999999996284,-0.03018121740835717,0.05857365624611408
61.75999999999628,-0.02958107379064325,0.06144478063258752
61.76999999999628,-0.028952532088275137,0.06425281939590465
61.77999999999628,-0.028296236662194316,0.06699508255212902
61.789999999996276,-0.027612858440179334,0.06966894714163659
61.799999999996274,-0.026903094234000117,0.07227185973824736
61.80999999999627,-0.02616766603182637,0.07480133888887759
